ADMINISTRATIVE REGION          Jan       Feb       Mar       Apr       May       Jun       Jul       Aug       Sep       Oct       Nov       Dec
East Midlands                12.21      9.39     11.23     10.24     10.40      9.16      8.22      9.49      8.77      9.90     11.21     11.43
East of England              11.70      8.59     10.53      9.86      9.62      8.38      8.07      8.54      8.27      9.05     10.90     10.86
East Scotland                15.60     11.74     13.88     11.20     12.38     10.88     11.41     12.65     13.64     14.21     14.36     14.73
London                       11.66      8.42     10.43      9.85      9.62      8.05      7.60      8.23      8.44      9.29     10.37     10.61
North East England           14.09     10.82     12.62     10.76     11.11     10.12     10.01     11.53     10.93     12.07     13.54     12.93
North Scotland               19.37     14.46     18.43     14.39     13.65     13.54     14.76     15.69     18.49     19.48     19.68     20.28
North West England           15.92     11.05     13.60     11.37     12.22     11.63     11.35     13.18     13.58     15.08     15.30     15.15
Northern Ireland             17.45     13.01     15.67     12.10     13.70     12.64     12.51     14.37     14.95     16.29     15.89     16.51
South East England           12.67      9.33     10.96      9.85     10.09      8.28      7.51      8.46      8.98     10.27     11.18     11.76
South West England           15.14     11.39     12.71     10.55     11.04      9.19      8.53     10.25     10.67     12.88     13.70     14.44
Wales                        17.33     12.54     14.48     11.90     12.69     11.24     10.26     12.52     13.01     15.63     16.47     16.75
West Midlands                13.00      9.91     11.80     10.56     11.21      9.49      8.42      9.74      9.49     11.18     11.70     12.35
West Scotland                18.48     13.65     16.39     12.52     13.43     12.85     13.57     15.15     17.15     18.23     17.60     18.19
Yorkshire & The Humber       13.66     10.23     11.96     10.55     10.91      9.85      9.26     10.78     10.14     11.56     13.11     13.12

RIVER BASIN                    Jan       Feb       Mar       Apr       May       Jun       Jul       Aug       Sep       Oct       Nov       Dec
Anglian                      11.66      8.66     10.59      9.88      9.78      8.47      8.05      8.67      8.29      9.05     10.84     10.83
Argyll                       20.58     15.17     18.71     14.16     14.36     14.48     16.06     16.94     19.93     20.82     19.85     20.76
Clyde                        17.89     13.27     15.84     12.18     13.27     12.42     12.96     14.73     16.52     17.52     17.06     17.43
Dee                          15.47     11.77     13.64     11.86     12.61     10.93      9.91     11.90     11.85     14.10     15.17     15.25
Forth                        15.31     11.59     13.55     10.59     12.18     10.62     10.88     12.59     13.79     14.56     14.13     14.46
Humber                       13.24     10.05     11.81     10.50     10.81      9.73      8.89     10.37      9.67     11.15     12.45     12.63
Neagh Bann                   16.94     12.56     15.14     11.73     13.45     12.30     12.09     14.07     14.40     15.67     15.12     15.89
North East Scotland          15.40     11.72     14.38     12.20     12.46     11.15     12.33     13.11     14.08     14.22     15.30     15.42
North Eastern Ireland        16.18     12.22     14.55     11.47     12.90     11.69     11.69     13.50     13.90     15.00     14.84     15.44
North Highland               17.97     13.51     17.33     13.77     13.11     12.67     13.53     14.65     17.04     17.80     18.66     18.98
North West England           16.08     11.15     13.60     11.50     12.30     11.68     11.31     13.16     13.57     15.10     15.46     15.39
North Western Ireland        18.88     14.07     17.04     12.94     14.52     13.67     13.55     15.29     16.28     17.85     17.51     17.98
Northumbria                  14.26     10.92     12.77     10.87     11.19     10.28     10.10     11.64     11.06     12.22     13.72     13.14
Orkney and Shetland          20.97     15.19     17.79     13.65     11.18     11.32     12.28     13.16     17.50     19.19     20.31     21.29
Severn                       14.32     10.70     12.53     10.86     11.62      9.69      8.67     10.34     10.42     12.38     12.89     13.59
Solway                       16.77     12.13     14.72     11.48     12.75     11.93     11.94     13.93     14.77     16.20     15.78     15.99
South East England           13.08      9.62     11.04      9.63      9.85      8.23      7.34      8.31      9.17     10.53     11.71     12.14
South West England           15.79     11.88     13.05     10.65     11.08      9.28      8.66     10.41     11.02     13.38     14.46     15.11
Tay                          16.68     12.38     14.43     10.90     12.81     11.30     11.50     12.87     14.39     15.10     14.56     15.34
Thames                       12.30      9.09     10.93     10.07     10.23      8.37      7.71      8.65      8.78     10.01     10.76     11.40
Tweed                        15.09     11.37     13.57     11.25     12.26     10.61     10.83     12.44     12.52     13.57     13.79     13.85
West Highland                21.25     15.84     20.31     15.59     14.45     15.06     16.97     17.52     20.96     22.21     21.56     22.52
Western Wales                17.59     12.62     14.55     11.83     12.54     11.42     10.56     12.88     13.44     16.17     17.01     17.16
