,,,,,UKCP09,,,UKCP18,,,Difference,,
2010-2039,temp,dmin,jan,North West England,0.10418648,1.13379,2.2438378,-0.30554894,0.723882,1.7702287,-0.40973542,-0.409908,-0.4736091
2010-2039,temp,dmin,jan,Northern Ireland,0.0773651,1.0458518,2.115765,-0.27613494,0.6741942,1.6392393,-0.35350004,-0.3716576,-0.4765257
2010-2039,temp,dmin,jan,Northern Scotland,-0.2501259,0.94846994,2.163694,-0.32121065,0.86437464,1.9959221,-0.07108475,-0.0840953,-0.1677719
2010-2039,temp,dmin,jan,South East England,0.32516596,1.3937192,2.5656922,-0.334417,0.71115977,1.785655,-0.65958296,-0.68255943,-0.7800372
2010-2039,temp,dmin,jan,South West England,0.34195727,1.340584,2.4602947,-0.36405486,0.67594206,1.7391621,-0.70601213,-0.66464194,-0.7211326
2010-2039,temp,dmin,jan,Wales,0.32109657,1.2903261,2.3686972,-0.3238857,0.6809123,1.7042431,-0.64498227,-0.6094138,-0.6644541
2010-2039,temp,dmin,jan,West Midlands,0.34732315,1.3195773,2.4278266,-0.2971042,0.7196378,1.766645,-0.64442735,-0.5999395,-0.6611816
2010-2039,temp,dmin,jan,Western Scotland,0.099216506,1.1457744,2.2561603,-0.2309249,0.780735,1.8181361,-0.330141406,-0.3650394,-0.4380242
2010-2039,temp,dmin,jan,Yorkshire and Humberside,0.2772134,1.310698,2.4444082,-0.28718156,0.73550844,1.7608345,-0.56439496,-0.57518956,-0.6835737
2010-2039,precip,dmean,jan,Channel Islands,-13.263835,1.1657273,18.454308,-12.360958,2.6180358,18.317122,0.902877,1.4523085,-0.137186
2010-2039,precip,dmean,jan,East Midlands,-12.72756,1.1969608,17.8845,-10.729592,5.6633,24.720135,1.997968,4.4663392,6.835635
2010-2039,precip,dmean,jan,East of England,-12.811263,1.204758,18.018719,-10.0425,5.8990974,23.919296,2.768763,4.6943394,5.900577
2010-2039,precip,dmean,jan,Eastern Scotland,-9.33253,4.4317746,21.593983,-11.886112,3.410648,21.419432,-2.553582,-1.0211266,-0.174551
