,,,,,UKCP09,,,UKCP18,,,Difference,,
2010-2039,temp,dmean,feb,Yorkshire and Humberside,0.5377325,1.4329022,2.3714356,-0.14247108,0.843834,1.8882678,-0.68020358,-0.5890682,-0.4831678
2010-2039,temp,dmin,feb,Channel Islands,0.27778205,1.1985611,2.177888,-0.20616372,0.9623564,2.1834993,-0.48394577,-0.2362047,0.0056113
2010-2039,temp,dmin,feb,East Midlands,0.32838368,1.3117437,2.380795,-0.2524336,0.88215816,2.0986884,-0.58081728,-0.42958554,-0.2821066
2010-2039,temp,dmin,feb,East of England,0.37686345,1.3452427,2.427174,-0.24726363,0.92037046,2.168872,-0.62412708,-0.42487224,-0.258302
2010-2039,temp,dmin,feb,Eastern Scotland,0.09409,1.0983244,2.1611915,-0.36446875,0.86520195,2.1403074,-0.45855875,-0.23312245,-0.0208841
2010-2039,temp,dmin,feb,Isle of Man,0.32440302,1.1468296,2.0244808,-0.35235962,0.74123925,1.874237,-0.67676264,-0.40559035,-0.1502438
2010-2039,temp,dmin,feb,London,0.35682774,1.3763417,2.4843965,-0.268799,0.9093695,2.1607335,-0.62562674,-0.4669722,-0.323663
2010-2039,temp,dmin,feb,North East England,0.3826477,1.2308025,2.1590915,-0.26137882,0.8440013,2.045656,-0.64402652,-0.3868012,-0.1134355
2010-2039,temp,dmin,feb,North West England,0.3665297,1.2259039,2.1561468,-0.42485148,0.7689561,2.0028841,-0.79138118,-0.4569478,-0.1532627
2010-2039,temp,dmin,feb,Northern Ireland,0.36324787,1.1750917,2.0208645,-0.3354129,0.75749373,1.8843675,-0.69866077,-0.41759797,-0.136497
2010-2039,temp,dmin,feb,Northern Scotland,0.074734785,1.101679,2.1358976,-0.37871072,0.8447723,2.1143138,-0.453445505,-0.2569067,-0.0215838
2010-2039,temp,dmin,feb,South East England,0.37609816,1.380996,2.5106616,-0.2613853,0.91965073,2.1724508,-0.63748346,-0.46134527,-0.3382108
2010-2039,temp,dmin,feb,South West England,0.31985062,1.2274356,2.1732817,-0.24979186,0.8831099,2.090608,-0.56964248,-0.3443257,-0.0826737
2010-2039,temp,dmin,feb,Wales,0.30481565,1.1817575,2.129672,-0.51807564,0.6452348,1.8544339,-0.82289129,-0.5365227,-0.2752381
2010-2039,temp,dmin,feb,West Midlands,0.32211477,1.2053361,2.1387835,-0.26784173,0.8649818,2.0754821,-0.5899565,-0.3403543,-0.0633014
2010-2039,temp,dmin,feb,Western Scotland,0.39099014,1.2683473,2.203837,-0.42934942,0.79097235,2.0464733,-0.82033956,-0.47737495,-0.1573637
2010-2039,temp,dmin,feb,Yorkshire and Humberside,0.29511553,1.2897838,2.3767538,-0.24684863,0.8710126,2.077944,-0.54196416,-0.4187712,-0.2988098
2010-2039,precip,dmean,feb,Channel Islands,-7.5984383,10.341094,32.359306,-9.659732,8.541242,31.33931,-2.0612937,-1.799852,-1.019996
2010-2039,precip,dmean,feb,East Midlands,-6.1746993,8.380729,25.65619,-10.377438,5.272192,23.102915,-4.2027387,-3.108537,-2.553275
2010-2039,precip,dmean,feb,East of England,-7.2097526,9.498774,29.756351,-11.119444,5.2115226,24.023811,-3.9096914,-4.2872514,-5.73254
2010-2039,precip,dmean,feb,Eastern Scotland,-6.774201,5.6433544,20.073332,-5.364126,8.739263,25.934607,1.410075,3.0959086,5.861275
2010-2039,precip,dmean,feb,Isle of Man,-7.4410396,8.348795,27.629791,-10.43083,6.5568566,26.957664,-2.9897904,-1.7919384,-0.672127
2010-2039,precip,dmean,feb,London,-8.515404,9.413317,31.394068,-10.702431,6.25887,26.053658,-2.187027,-3.154447,-5.34041
2010-2039,precip,dmean,feb,North East England,-6.4276996,5.7895985,19.912275,-6.804728,8.880748,28.494783,-0.3770284,3.0911495,8.582508
2010-2039,precip,dmean,feb,North West England,-5.9254384,7.0996075,22.60197,-10.087935,6.373908,26.436214,-4.1624966,-0.7256995,3.834244
2010-2039,precip,dmean,feb,Northern Ireland,-6.031483,6.118781,20.37911,-7.877188,5.339042,21.15241,-1.845705,-0.779739,0.7733
2010-2039,precip,dmean,feb,Northern Scotland,-4.0403595,7.7612524,21.644556,-14.535873,2.7488384,23.250341,-10.4955135,-5.012414,1.605785
2010-2039,precip,dmean,feb,South East England,-8.362203,10.720381,34.407402,-11.583649,6.298849,27.645971,-3.221446,-4.421532,-6.761431
2010-2039,precip,dmean,feb,South West England,-6.963662,9.798526,30.279537,-11.620237,7.02155,29.23146,-4.656575,-2.776976,-1.048077
2010-2039,precip,dmean,feb,Wales,-6.19487,7.3823605,23.628464,-13.263931,3.466411,21.899101,-7.069061,-3.9159495,-1.729363
2010-2039,precip,dmean,feb,West Midlands,-6.176549,8.099891,25.102985,-10.733972,5.813522,24.454449,-4.557423,-2.286369,-0.648536
2010-2039,precip,dmean,feb,Western Scotland,-3.7173724,10.980796,28.9181,-12.939635,3.9801474,24.643476,-9.2222626,-7.0006486,-4.274624
2010-2039,precip,dmean,feb,Yorkshire and Humberside,-5.2038026,6.128311,19.14345,-7.105709,5.818386,20.232975,-1.9019064,-0.309925,1.089525
2020-2049,temp,dmax,feb,Channel Islands,0.4119964,1.2469057,2.2055614,-0.003022838,1.0121075,2.0853195,-0.415019238,-0.2347982,-0.1202419
2020-2049,temp,dmax,feb,East Midlands,0.52738214,1.4928412,2.6166587,-0.06271185,1.0233414,2.190626,-0.59009399,-0.4694998,-0.4260327
2020-2049,temp,dmax,feb,East of England,0.52612644,1.4909666,2.622245,-0.06833693,1.0269966,2.2093084,-0.59446337,-0.46397,-0.4129366
2020-2049,temp,dmax,feb,Eastern Scotland,0.10637729,1.121645,2.2084203,-0.23187087,1.0011346,2.2341688,-0.33824816,-0.1205104,0.0257485
2020-2049,temp,dmax,feb,Isle of Man,0.31635118,1.1205764,2.0383067,-0.034419682,0.8814479,1.8450135,-0.350770862,-0.2391285,-0.1932932
2020-2049,temp,dmax,feb,London,0.5329353,1.512765,2.6498654,-0.08728974,1.0242864,2.2169082,-0.62022504,-0.4884786,-0.4329572
2020-2049,temp,dmax,feb,North East England,0.42263728,1.3719004,2.4823337,-0.07657731,1.0284048,2.1952188,-0.49921459,-0.3434956,-0.2871149
2020-2049,temp,dmax,feb,North West England,0.39880034,1.3267591,2.3940725,-0.10201715,0.9812664,2.1209502,-0.50081749,-0.3454927,-0.2731223
2020-2049,temp,dmax,feb,Northern Ireland,0.47100863,1.3251681,2.2829318,-0.014817291,0.9582308,1.965738,-0.485825921,-0.3669373,-0.3171938
2020-2049,temp,dmax,feb,Northern Scotland,0.07981757,1.053097,2.065168,-0.22916053,0.9486553,2.1152954,-0.3089781,-0.1044417,0.0501274
2020-2049,temp,dmax,feb,South East England,0.51919365,1.4928186,2.621521,-0.073323235,1.0251348,2.2036026,-0.592516885,-0.4676838,-0.4179184
2020-2049,temp,dmax,feb,South West England,0.46168253,1.34382,2.3523345,-0.048171483,0.99292773,2.1080706,-0.509854013,-0.35089227,-0.2442639
2020-2049,temp,dmax,feb,Wales,0.46058562,1.3545992,2.368983,-0.07137622,0.9835701,2.101935,-0.53196184,-0.3710291,-0.267048
2020-2049,temp,dmax,feb,West Midlands,0.48932308,1.4049542,2.452788,-0.06799837,1.0159823,2.1717324,-0.55732145,-0.3889719,-0.2810556
2020-2049,temp,dmax,feb,Western Scotland,0.4045999,1.3313681,2.412013,-0.109055184,0.97661626,2.0988805,-0.513655084,-0.35475184,-0.3131325
2020-2049,temp,dmax,feb,Yorkshire and Humberside,0.5164295,1.5120925,2.658646,-0.07476333,1.0247679,2.1970823,-0.59119283,-0.4873246,-0.4615637
2020-2049,temp,dmean,feb,Channel Islands,0.46822432,1.39544,2.3891504,0.03951348,1.1195463,2.2605667,-0.42871084,-0.2758937,-0.1285837
2020-2049,temp,dmean,feb,East Midlands,0.58709747,1.6027015,2.6829185,-0.04709047,1.0955485,2.3306231,-0.63418794,-0.507153,-0.3522954
2020-2049,temp,dmean,feb,East of England,0.60022724,1.6300967,2.7260535,-0.036412127,1.1239846,2.3762565,-0.636639367,-0.5061121,-0.349797
2020-2049,temp,dmean,feb,Eastern Scotland,0.40053925,1.3713189,2.4247928,-0.12853105,1.1560276,2.4559221,-0.5290703,-0.2152913,0.0311293
2020-2049,temp,dmean,feb,Isle of Man,0.3791939,1.2545561,2.1746862,-0.12511458,0.98231655,2.1131854,-0.50430848,-0.27223955,-0.0615008
2020-2049,temp,dmean,feb,London,0.61323994,1.658014,2.7702668,-0.05943714,1.1102144,2.3731167,-0.67267708,-0.5477996,-0.3971501
2020-2049,temp,dmean,feb,North East England,0.44441268,1.4310077,2.4693735,-0.06955387,1.0704538,2.2843978,-0.51396655,-0.3605539,-0.1849757
2020-2049,temp,dmean,feb,North West England,0.43161198,1.4076886,2.4343421,-0.18537357,1.0649362,2.3392744,-0.61698555,-0.3427524,-0.0950677
2020-2049,temp,dmean,feb,Northern Ireland,0.41650265,1.2507336,2.155828,-0.11412325,1.0247647,2.1855392,-0.5306259,-0.2259689,0.0297112
2020-2049,temp,dmean,feb,Northern Scotland,0.3793361,1.3228513,2.345055,-0.14614706,1.1151633,2.3810122,-0.52548316,-0.207688,0.0359572
2020-2049,temp,dmean,feb,South East England,0.61042815,1.6545466,2.7658935,-0.054557174,1.1107726,2.3672059,-0.664985324,-0.543774,-0.3986876
2020-2049,temp,dmean,feb,South West England,0.5247052,1.4683863,2.4860551,-0.03789621,1.0753336,2.2704268,-0.56260141,-0.3930527,-0.2156283
2020-2049,temp,dmean,feb,Wales,0.5220336,1.4529831,2.4574685,-0.08344381,1.0327067,2.2306652,-0.60547741,-0.4202764,-0.2268033
2020-2049,temp,dmean,feb,West Midlands,0.5384209,1.4859558,2.5092316,-0.06151238,1.074603,2.3016326,-0.59993328,-0.4113528,-0.207599
2020-2049,temp,dmean,feb,Western Scotland,0.4406915,1.4254773,2.4617019,-0.20741722,1.0460994,2.3068957,-0.64810872,-0.3793779,-0.1548062
2020-2049,temp,dmean,feb,Yorkshire and Humberside,0.5772073,1.6017638,2.689833,-0.061296664,1.0830348,2.3090813,-0.638503964,-0.518729,-0.3807517
2020-2049,temp,dmin,feb,Channel Islands,0.22031967,1.3039831,2.472097,-0.07839737,1.2088853,2.6581478,-0.29871704,-0.0950978,0.1860508
2020-2049,temp,dmin,feb,East Midlands,0.34563166,1.4877267,2.781067,-0.13155459,1.1436958,2.572877,-0.47718625,-0.3440309,-0.20819
2020-2049,temp,dmin,feb,East of England,0.40199342,1.5310438,2.8345203,-0.13477443,1.186704,2.6706889,-0.53676785,-0.3443398,-0.1638314
2020-2049,temp,dmin,feb,Eastern Scotland,0.0847699,1.162734,2.3239427,-0.27584398,1.0954659,2.529027,-0.36061388,-0.0672681,0.2050843
2020-2049,temp,dmin,feb,Isle of Man,0.30919763,1.2634966,2.3086905,-0.28366745,0.9534839,2.2344472,-0.59286508,-0.3100127,-0.0742433
2020-2049,temp,dmin,feb,London,0.3778562,1.5629992,2.907225,-0.16864324,1.1807194,2.6834319,-0.54649944,-0.3822798,-0.2237931
2020-2049,temp,dmin,feb,North East England,0.3376555,1.3595893,2.4593892,-0.17304942,1.0796362,2.4864507,-0.51070492,-0.2799531,0.0270615
2020-2049,temp,dmin,feb,North West England,0.3369758,1.349611,2.4537435,-0.3437876,1.000061,2.4069874,-0.6807634,-0.34955,-0.0467561
2020-2049,temp,dmin,feb,Northern Ireland,0.33312804,1.2413986,2.243815,-0.27598715,0.9678721,2.2497702,-0.60911519,-0.2735265,0.0059552
2020-2049,temp,dmin,feb,Northern Scotland,0.060556695,1.1572295,2.297102,-0.31978092,1.0682032,2.496977,-0.380337615,-0.0890263,0.199875
2020-2049,temp,dmin,feb,South East England,0.40415043,1.5745945,2.9173813,-0.15819997,1.1917791,2.694709,-0.5623504,-0.3828154,-0.2226723
2020-2049,temp,dmin,feb,South West England,0.24209413,1.3385355,2.5090728,-0.13776284,1.1595999,2.603961,-0.37985697,-0.1789356,0.0948882
2020-2049,temp,dmin,feb,Wales,0.22992958,1.2984581,2.4400344,-0.41435218,0.88878584,2.2889352,-0.64428176,-0.40967226,-0.1510992
2020-2049,temp,dmin,feb,West Midlands,0.24826272,1.3133539,2.4480472,-0.1470018,1.1375955,2.5610063,-0.39526452,-0.1757584,0.1129591
2020-2049,temp,dmin,feb,Western Scotland,0.35150468,1.3927525,2.531349,-0.36319983,1.0042291,2.407777,-0.71470451,-0.3885234,-0.123572
2020-2049,temp,dmin,feb,Yorkshire and Humberside,0.33000326,1.470248,2.7640994,-0.14556448,1.114952,2.5323331,-0.47556774,-0.355296,-0.2317663
2020-2049,precip,dmean,feb,Channel Islands,-4.452872,12.386922,33.347023,-11.374676,9.601259,35.698654,-6.921804,-2.785663,2.351631
2020-2049,precip,dmean,feb,East Midlands,-3.5629485,10.019743,26.415215,-10.75887,7.7934594,29.288336,-7.1959215,-2.2262836,2.873121
2020-2049,precip,dmean,feb,East of England,-4.3166866,11.373094,30.664303,-10.771685,8.249537,30.730223,-6.4549984,-3.123557,0.06592
2020-2049,precip,dmean,feb,Eastern Scotland,-5.6982465,6.331556,20.461819,-4.4431477,12.174238,33.05576,1.2550988,5.842682,12.593941
2020-2049,precip,dmean,feb,Isle of Man,-7.8284225,8.403323,28.842093,-8.548315,10.474865,34.614082,-0.7198925,2.071542,5.771989
2020-2049,precip,dmean,feb,London,-5.803779,11.2924185,32.429302,-9.879138,9.29174,32.510006,-4.075359,-2.0006785,0.080704
2020-2049,precip,dmean,feb,North East England,-4.7687855,6.934213,20.575102,-7.364619,11.219469,34.235474,-2.5958335,4.285256,13.660372
2020-2049,precip,dmean,feb,North West England,-6.2797465,7.1388435,23.632023,-10.083136,8.016902,31.377838,-3.8033895,0.8780585,7.745815
2020-2049,precip,dmean,feb,Northern Ireland,-6.3076773,6.164354,21.194239,-6.9734225,7.655689,26.122297,-0.6657452,1.491335,4.928058
2020-2049,precip,dmean,feb,Northern Scotland,-3.3512387,7.7653294,21.268318,-14.234328,4.239494,26.223604,-10.8830893,-3.5258354,4.955286
2020-2049,precip,dmean,feb,South East England,-5.1759105,12.855386,35.4874,-11.246102,9.098546,34.175205,-6.0701915,-3.75684,-1.312195
2020-2049,precip,dmean,feb,South West England,-4.874727,10.949914,30.756788,-11.625171,9.283622,34.879253,-6.750444,-1.666292,4.122465
2020-2049,precip,dmean,feb,Wales,-6.559927,7.423958,24.703678,-14.930893,4.353835,27.035198,-8.370966,-3.070123,2.33152
2020-2049,precip,dmean,feb,West Midlands,-4.448732,9.051009,25.500334,-10.814965,8.142338,30.312721,-6.366233,-0.908671,4.812387
2020-2049,precip,dmean,feb,Western Scotland,-2.612621,10.920913,28.270622,-12.164994,6.34074,30.19523,-9.552373,-4.580173,1.924608
2020-2049,precip,dmean,feb,Yorkshire and Humberside,-3.3154671,7.322567,19.722752,-7.3332334,7.768014,24.716042,-4.0177663,0.445447,4.99329
2030-2059,temp,dmax,feb,Channel Islands,0.50592643,1.4343889,2.5408387,0.014614336,1.2141371,2.4698272,-0.491312094,-0.2202518,-0.0710115
2030-2059,temp,dmax,feb,East Midlands,0.62421495,1.727083,3.0337462,0.018241638,1.274296,2.6007953,-0.605973312,-0.452787,-0.4329509
2030-2059,temp,dmax,feb,East of England,0.6185024,1.7325367,3.0608277,0.019532057,1.2941505,2.6449413,-0.598970343,-0.4383862,-0.4158864
2030-2059,temp,dmax,feb,Eastern Scotland,0.06502673,1.2297736,2.4747021,-0.20532134,1.1753497,2.564359,-0.27034807,-0.0544239,0.0896569
2030-2059,temp,dmax,feb,Isle of Man,0.36404952,1.2671287,2.3540258,-0.020218497,1.0463994,2.1495862,-0.384268017,-0.2207293,-0.2044396
2030-2059,temp,dmax,feb,London,0.63096386,1.7469842,3.084261,0.016238172,1.2996181,2.6600323,-0.614725688,-0.4473661,-0.4242287
2030-2059,temp,dmax,feb,North East England,0.46827412,1.565481,2.8769457,-0.030229393,1.2464672,2.5660918,-0.498503513,-0.3190138,-0.3108539
2030-2059,temp,dmax,feb,North West England,0.4361221,1.5066564,2.7562976,-0.024871493,1.2151198,2.5000782,-0.460993593,-0.2915366,-0.2562194
2030-2059,temp,dmax,feb,Northern Ireland,0.53113097,1.5194185,2.637372,-0.012210306,1.1239896,2.2881477,-0.543341276,-0.3954289,-0.3492243
2030-2059,temp,dmax,feb,Northern Scotland,0.061538722,1.1567471,2.3202903,-0.22314839,1.1046085,2.4339004,-0.284687112,-0.0521386,0.1136101
2030-2059,temp,dmax,feb,South East England,0.6090618,1.7200391,3.055537,0.020135578,1.2921455,2.6405594,-0.588926222,-0.4278936,-0.4149776
2030-2059,temp,dmax,feb,South West England,0.52533025,1.5433207,2.7309086,0.010304512,1.2244353,2.50652,-0.515025738,-0.3188854,-0.2243886
2030-2059,temp,dmax,feb,Wales,0.5332548,1.5559156,2.7574267,0.006513026,1.2174228,2.4813323,-0.526741774,-0.3384928,-0.2760944
2030-2059,temp,dmax,feb,West Midlands,0.5716544,1.6098635,2.8628457,0.027229898,1.2670698,2.5723712,-0.544424502,-0.3427937,-0.2904745
2030-2059,temp,dmax,feb,Western Scotland,0.43976676,1.4999702,2.7615879,-0.05893378,1.183722,2.4489355,-0.49870054,-0.3162482,-0.3126524
2030-2059,temp,dmax,feb,Yorkshire and Humberside,0.61793184,1.7435383,3.0802906,-0.016324474,1.2564478,2.5863292,-0.634256314,-0.4870905,-0.4939614
2030-2059,temp,dmean,feb,Channel Islands,0.6037408,1.6225209,2.7353153,0.094976775,1.3863739,2.7585945,-0.508764025,-0.236147,0.0232792
2030-2059,temp,dmean,feb,East Midlands,0.7333173,1.8621377,3.0805283,0.05917951,1.3937346,2.8122997,-0.67413779,-0.4684031,-0.2682286
2030-2059,temp,dmean,feb,East of England,0.7485556,1.8939735,3.1307623,0.07448455,1.4380645,2.8873498,-0.67407105,-0.455909,-0.2434125
2030-2059,temp,dmean,feb,Eastern Scotland,0.41944408,1.5171865,2.7304852,-0.08649232,1.3999709,2.9007645,-0.5059364,-0.1172156,0.1702793
2030-2059,temp,dmean,feb,Isle of Man,0.4392266,1.4341902,2.4909444,-0.05470462,1.2108228,2.5139313,-0.49393122,-0.2233674,0.0229869
2030-2059,temp,dmean,feb,London,0.7638453,1.9264154,3.1822028,0.0749427,1.4398834,2.9024475,-0.6889026,-0.486532,-0.2797553
2030-2059,temp,dmean,feb,North East England,0.5117124,1.6359367,2.8316576,0.012787502,1.3373921,2.7284288,-0.498924898,-0.2985446,-0.1032288
2030-2059,temp,dmean,feb,North West England,0.49857095,1.6092639,2.79,-0.07591729,1.3408327,2.8015175,-0.57448824,-0.2684312,0.0115175
2030-2059,temp,dmean,feb,Northern Ireland,0.54140294,1.412248,2.390892,-0.055423632,1.2508038,2.594441,-0.596826572,-0.1614442,0.203549
2030-2059,temp,dmean,feb,Northern Scotland,0.3984839,1.4635527,2.6391876,-0.115063,1.3476366,2.8122828,-0.5135469,-0.1159161,0.1730952
2030-2059,temp,dmean,feb,South East England,0.76082814,1.9223837,3.1767895,0.07896933,1.4381602,2.8984876,-0.68185881,-0.4842235,-0.2783019
2030-2059,temp,dmean,feb,South West England,0.6646578,1.7073847,2.853611,0.08229082,1.3805437,2.780329,-0.58236698,-0.326841,-0.073282
2030-2059,temp,dmean,feb,Wales,0.66039044,1.6894811,2.8214774,0.049378984,1.3302013,2.7027073,-0.611011456,-0.3592798,-0.1187701
2030-2059,temp,dmean,feb,West Midlands,0.67960525,1.7278308,2.8819983,0.069878966,1.3816694,2.7881474,-0.609726284,-0.3461614,-0.0938509
2030-2059,temp,dmean,feb,Western Scotland,0.5080371,1.6296088,2.8223255,-0.108777955,1.3118752,2.7511997,-0.616815055,-0.3177336,-0.0711258
2030-2059,temp,dmean,feb,Yorkshire and Humberside,0.7245517,1.8610297,3.0862796,0.025248045,1.3576316,2.7646465,-0.699303655,-0.5033981,-0.3216331
2030-2059,temp,dmin,feb,Channel Islands,0.32141086,1.5156434,2.8315122,0.011706543,1.5346364,3.2735152,-0.309704317,0.018993,0.442003
2030-2059,temp,dmin,feb,East Midlands,0.45043483,1.721529,3.2264085,-0.02721035,1.4498214,3.1433628,-0.47764518,-0.2717076,-0.0830457
2030-2059,temp,dmin,feb,East of England,0.48613867,1.7727175,3.3052225,-0.024191597,1.5084518,3.2630427,-0.510330267,-0.2642657,-0.0421798
2030-2059,temp,dmin,feb,Eastern Scotland,0.022436038,1.2533919,2.5825355,-0.21913011,1.3432457,3.0217788,-0.241566148,0.0898538,0.4392433
2030-2059,temp,dmin,feb,Isle of Man,0.33982757,1.4572849,2.6910024,-0.1763927,1.2059666,2.6860175,-0.51622027,-0.2513183,-0.0049849
2030-2059,temp,dmin,feb,London,0.4802124,1.8192666,3.3757396,-0.01917328,1.5308957,3.2983718,-0.49938568,-0.2883709,-0.0773678
2030-2059,temp,dmin,feb,North East England,0.38204408,1.5618904,2.8782485,-0.08418201,1.366561,3.037746,-0.46622609,-0.1953294,0.1594975
2030-2059,temp,dmin,feb,North West England,0.3632598,1.5491428,2.869534,-0.21228425,1.2781959,2.8913887,-0.57554405,-0.2709469,0.0218547
2030-2059,temp,dmin,feb,Northern Ireland,0.43557358,1.3889081,2.5040383,-0.19897893,1.2010617,2.6839669,-0.63455251,-0.1878464,0.1799286
2030-2059,temp,dmin,feb,Northern Scotland,-0.001910241,1.2540138,2.5754685,-0.28745842,1.2957007,2.9795794,-0.285548179,0.0416869,0.4041109
2030-2059,temp,dmin,feb,South East England,0.494861,1.8224679,3.3826556,-0.007776797,1.5441954,3.3171573,-0.502637797,-0.2782725,-0.0654983
2030-2059,temp,dmin,feb,South West England,0.33849806,1.5527472,2.8851385,0.011693513,1.5067953,3.2121086,-0.326804547,-0.0459519,0.3269701
2030-2059,temp,dmin,feb,Wales,0.31580126,1.5016017,2.8125098,-0.28689712,1.2009845,2.783777,-0.60269838,-0.3006172,-0.0287328
2030-2059,temp,dmin,feb,West Midlands,0.32172891,1.5094427,2.8034606,-0.006148986,1.4560341,3.1333177,-0.327877896,-0.0534086,0.3298571
2030-2059,temp,dmin,feb,Western Scotland,0.3722802,1.6014948,2.9647658,-0.24527815,1.2772683,2.9043548,-0.61755835,-0.3242265,-0.060411
2030-2059,temp,dmin,feb,Yorkshire and Humberside,0.42321292,1.707514,3.2132673,-0.06180521,1.3993319,3.080425,-0.48501813,-0.3081821,-0.1328423
2030-2059,precip,dmean,feb,Channel Islands,-1.8968621,17.073307,41.561184,-13.448947,11.775481,42.34714,-11.5520849,-5.297826,0.785956
2030-2059,precip,dmean,feb,East Midlands,-1.4649458,13.757475,32.75968,-11.597275,8.97583,34.071083,-10.1323292,-4.781645,1.311403
2030-2059,precip,dmean,feb,East of England,-1.9447184,15.649212,38.045322,-11.637533,9.127822,35.0063,-9.6928146,-6.52139,-3.039022
2030-2059,precip,dmean,feb,Eastern Scotland,-4.302002,8.740352,24.47836,-4.0428276,15.187803,39.696503,0.2591744,6.447451,15.218143
2030-2059,precip,dmean,feb,Isle of Man,-5.3839903,12.4845915,35.913826,-8.803765,13.200544,41.753227,-3.4197747,0.7159525,5.839401
2030-2059,precip,dmean,feb,London,-3.3817909,15.5317335,39.691326,-11.394575,10.18812,36.71842,-8.0127841,-5.3436135,-2.972906
2030-2059,precip,dmean,feb,North East England,-3.1860921,9.467099,24.584751,-6.59354,13.905829,39.576122,-3.4074479,4.43873,14.991371
2030-2059,precip,dmean,feb,North West England,-4.189197,10.579998,29.465801,-8.525678,11.989638,39.26128,-4.336481,1.40964,9.795479
2030-2059,precip,dmean,feb,Northern Ireland,-4.4499097,9.1107235,26.0515,-6.9847746,9.171975,29.844446,-2.5348649,0.0612515,3.792946
2030-2059,precip,dmean,feb,Northern Scotland,-2.821843,9.608019,25.284327,-13.156724,5.7452955,29.810669,-10.334881,-3.8627235,4.526342
2030-2059,precip,dmean,feb,South East England,-2.5111976,17.73032,44.06565,-13.353071,10.188063,39.07237,-10.8418734,-7.542257,-4.99328
2030-2059,precip,dmean,feb,South West England,-2.8094795,15.261369,38.775074,-13.907093,11.344815,42.018494,-11.0976135,-3.916554,3.24342
2030-2059,precip,dmean,feb,Wales,-4.3912716,11.00906,30.814205,-13.435121,7.602312,33.402813,-9.0438494,-3.406748,2.588608
2030-2059,precip,dmean,feb,West Midlands,-2.6892774,12.570147,31.841177,-12.168381,9.646081,35.70991,-9.4791036,-2.924066,3.868733
2030-2059,precip,dmean,feb,Western Scotland,-2.0911853,13.577209,34.543808,-10.45747,10.062292,37.156258,-8.3662847,-3.514917,2.61245
2030-2059,precip,dmean,feb,Yorkshire and Humberside,-1.7180377,10.006957,24.069376,-8.499982,9.133988,29.708801,-6.7819443,-0.872969,5.639425
2040-2069,temp,dmax,feb,Channel Islands,0.5314043,1.5834227,2.8653383,0.009703678,1.3899977,2.8399353,-0.521700622,-0.193425,-0.025403
2040-2069,temp,dmax,feb,East Midlands,0.64746386,1.9136921,3.42234,-0.018750962,1.4736127,3.02205,-0.666214822,-0.4400794,-0.40029
2040-2069,temp,dmax,feb,East of England,0.64385563,1.9159448,3.4519467,0.001695572,1.5000328,3.0750086,-0.642160058,-0.415912,-0.3769381
2040-2069,temp,dmax,feb,Eastern Scotland,-0.091300845,1.3032091,2.7938337,-0.14534894,1.3535649,2.9389312,-0.054048095,0.0503558,0.1450975
2040-2069,temp,dmax,feb,Isle of Man,0.29875946,1.3934011,2.697413,-0.08920934,1.1713104,2.4627159,-0.3879688,-0.2220907,-0.2346971
2040-2069,temp,dmax,feb,London,0.6636734,1.9537346,3.4866695,-0.013599237,1.5004716,3.0925207,-0.677272637,-0.453263,-0.3941488
2040-2069,temp,dmax,feb,North East England,0.38675648,1.7043928,3.2962728,-0.071919516,1.4323583,2.9769707,-0.458675996,-0.2720345,-0.3193021
2040-2069,temp,dmax,feb,North West England,0.36774123,1.646949,3.1797462,-0.08493948,1.3868371,2.9023142,-0.45268071,-0.2601119,-0.277432
2040-2069,temp,dmax,feb,Northern Ireland,0.53247756,1.6954618,2.9991746,-0.085325934,1.2467806,2.6040432,-0.617803494,-0.4486812,-0.3951314
2040-2069,temp,dmax,feb,Northern Scotland,-0.08582342,1.2282317,2.6345594,-0.20261735,1.2336617,2.7462971,-0.11679393,0.00543,0.1117377
2040-2069,temp,dmax,feb,South East England,0.6572609,1.9156857,3.4469228,-0.013062682,1.4869565,3.0633225,-0.670323582,-0.4287292,-0.3836003
2040-2069,temp,dmax,feb,South West England,0.5574782,1.6982284,3.084732,-0.02488009,1.4054766,2.9026208,-0.58235829,-0.2927518,-0.1821112
2040-2069,temp,dmax,feb,Wales,0.5579193,1.7200221,3.1290483,-0.046255454,1.393912,2.8801773,-0.604174754,-0.3261101,-0.248871
2040-2069,temp,dmax,feb,West Midlands,0.5924827,1.7789671,3.244954,-0.015945675,1.4678229,2.9996285,-0.608428375,-0.3111442,-0.2453255
2040-2069,temp,dmax,feb,Western Scotland,0.37705824,1.6510303,3.1923509,-0.13002849,1.3381084,2.8246434,-0.50708673,-0.3129219,-0.3677075
2040-2069,temp,dmax,feb,Yorkshire and Humberside,0.65468985,1.9414637,3.47745,-0.052837614,1.4508486,3.005152,-0.707527464,-0.4906151,-0.472298
2040-2069,temp,dmean,feb,Channel Islands,0.71234965,1.838176,3.0865185,0.06832224,1.6007432,3.2293084,-0.64402741,-0.2374328,0.1427899
2040-2069,temp,dmean,feb,East Midlands,0.90175056,2.106405,3.4344928,0.014451934,1.6069624,3.316326,-0.887298626,-0.4994426,-0.1181668
2040-2069,temp,dmean,feb,East of England,0.91964954,2.1424124,3.4910274,0.041517906,1.6538765,3.3909166,-0.878131634,-0.4885359,-0.1001108
2040-2069,temp,dmean,feb,Eastern Scotland,0.30887988,1.6388881,3.10586,-0.034398302,1.6294622,3.3489745,-0.343278182,-0.0094259,0.2431145
